state_rate_area,plan_id,state,metal_level,rate,rate_area
AZ 6,87398ND0880198,AZ,Silver,226.04,6
LA 6,35774RY2782112,LA,Silver,391,6
IN 14,82205GM6253983,IN,Gold,388.12,14
OR 5,26047LN5367159,OR,Gold,371,5
SC 19,11416DR5071668,SC,Silver,298.95,19
GA 3,88436BR1614065,GA,Gold,324.84,3
OR 6,94518TH6578734,OR,Silver,264,6
TX 19,39438CY9084059,TX,Gold,367.42,19
OR 5,61189DT1886433,OR,Silver,313,5
FL 34,49525TD2575543,FL,Bronze,321.34,34
MI 6,27758BC7364679,MI,Silver,301.82,6
OH 17,78781NW6107052,OH,Catastrophic,252.29,17
IN 2,18612AJ5237147,IN,Gold,422.82,2
LA 3,10376BN8771461,LA,Gold,356.41,3
OH 15,36889CT0381431,OH,Bronze,240.01,15
SC 11,19212TT7111440,SC,Bronze,254.94,11
OH 2,76081SK9992335,OH,Silver,278.07,2
PA 3,00891HM0163749,PA,Platinum,416.84,3
AZ 3,24688GN0868372,AZ,Gold,462.06,3
NV 4,87671GS7962660,NV,Bronze,347.85,4
MO 5,09694DK0730258,MO,Bronze,280.88,5
TX 11,20682KS2160980,TX,Bronze,244.46,11
IN 16,68234AQ3657042,IN,Bronze,161.57,16
DE 1,05376EM5281851,DE,Bronze,243.9,1
FL 41,36912FG9827466,FL,Platinum,454.99,41
UT 2,44946WI9761933,UT,Silver,244.26,2
IL 1,14852HM6696507,IL,Bronze,174.74,1
IN 13,02294ZI4903749,IN,Silver,384.97,13
WI 1,49756SD6904699,WI,Silver,326.42,1
AL 5,09467EY5268842,AL,Catastrophic,223.46,5
ND 4,48069CS3179518,ND,Bronze,266.34,4
MI 1,56252AH2408972,MI,Gold,433.92,1
NE 2,15483RD2589949,NE,Bronze,291.39,2
OH 3,16575PV1862938,OH,Silver,338.01,3
SC 11,34844EX4554620,SC,Silver,301.68,11
MT 4,72940HW6663503,MT,Platinum,328.35,4
SC 26,72845NB0313437,SC,Silver,291.91,26
MI 2,67680QY3956468,MI,Silver,257.5,2
AR 1,28456SE4274922,AR,Bronze,266.01,1
TX 7,54614WR9686916,TX,Silver,248.86,7
TX 4,64246PE5545434,TX,Bronze,251.18,4
FL 64,41636VL2842132,FL,Silver,263.86,64
FL 15,40606ES3982067,FL,Silver,265.03,15
SC 18,08170CY2577980,SC,Silver,475.96,18
SC 9,36570AS7162701,SC,Gold,337.32,9
SC 3,97451YK5874171,SC,Silver,401.32,3
IN 10,66074TT8444625,IN,Bronze,321.1,10
PA 1,31057HV4434980,PA,Silver,203.94,1
MI 5,64245GK1795648,MI,Bronze,224.23,5
TX 26,30480GE4450582,TX,Gold,352.81,26
OH 8,83190XP8998771,OH,Silver,334.87,8
WI 16,75486SB5433196,WI,Catastrophic,238.55,16
OR 6,21251QJ5277122,OR,Silver,285,6
WI 14,08595SF5092925,WI,Gold,469.56,14
IL 8,89508EI7485150,IL,Silver,354.5,8
IN 3,67940SO7728141,IN,Silver,483.97,3
AR 7,33116ZE0784444,AR,Silver,293.41,7
SC 17,29124TD3320051,SC,Bronze,226.29,17
MI 2,76715CU6692521,MI,Bronze,220.34,2
ND 4,22892JY9346367,ND,Gold,359.55,4
OH 9,65177DY1308097,OH,Bronze,190.47,9
FL 58,09846BV0265587,FL,Gold,381.53,58
OH 16,19509LE9457398,OH,Bronze,274.06,16
SC 32,89459FA9716685,SC,Silver,273.61,32
FL 54,10544JB8250499,FL,Gold,339.4,54
VA 9,32647ST4681241,VA,Bronze,234.31,9
SC 6,32014SU4062402,SC,Bronze,298.23,6
NC 15,45601YV7945033,NC,Bronze,296.57,15
FL 17,63371UG0668998,FL,Gold,457.03,17
SC 4,45293QR4238494,SC,Bronze,300.08,4
VA 12,36360XC1062140,VA,Silver,337.64,12
SC 6,35593AT9052662,SC,Silver,327.01,6
IL 9,80160UF6730674,IL,Silver,306.4,9
TN 2,54991LT0670193,TN,Silver,244.32,2
SC 7,02645VJ4937502,SC,Bronze,242.89,7
KS 4,71836DN6468604,KS,Gold,313.17,4
OH 13,39624SV1493572,OH,Silver,298.24,13
VA 4,77357KO5993229,VA,Bronze,248.23,4
AZ 2,08829GH5273868,AZ,Gold,499.71,2
SD 1,04717KI5435068,SD,Bronze,255.23,1
WI 11,02938YY9262289,WI,Silver,343.19,11
VA 12,06542YW1427943,VA,Silver,315.45,12
IL 3,47043NH4079672,IL,Silver,243.99,3
WI 16,92178LA9206545,WI,Silver,378.52,16
WI 16,64463UQ4808748,WI,Gold,343.34,16
OR 3,98472GF1576094,OR,Catastrophic,190,3
SC 29,73968NC9752807,SC,Bronze,265.11,29
WI 14,48188EH0297502,WI,Silver,356.04,14
VA 7,59326WR9835554,VA,Silver,279.69,7
OH 15,53301VQ7221621,OH,Silver,305.19,15
TX 24,78993VT1870684,TX,Silver,248.92,24
OH 1,84869PT0913697,OH,Gold,406.93,1
SC 20,02043UC5098985,SC,Silver,258.21,20
IN 7,63248UU4983031,IN,Bronze,325.2,7
AZ 1,02238XK6161518,AZ,Gold,430.84,1
ME 4,78864OS9787673,ME,Bronze,350.39,4
TX 3,21725GY9178917,TX,Silver,311.27,3
TX 3,21057BD9064326,TX,Bronze,284.68,3
MI 2,12291QX9499013,MI,Bronze,206.24,2
IL 4,26498BD3587874,IL,Platinum,644.84,4
TN 3,39378CZ6617827,TN,Silver,284.52,3
PA 1,37699TM2115448,PA,Bronze,149.19,1
OR 7,55594US9232753,OR,Silver,311,7
TN 3,44126IJ9740332,TN,Bronze,179.59,3
IL 13,89482SN5505167,IL,Catastrophic,230.25,13
FL 3,98554QD6392738,FL,Platinum,342.55,3
PA 1,09552VF2054375,PA,Gold,221.32,1
VA 10,92239PI0056563,VA,Platinum,385.08,10
PA 2,47135CK0192857,PA,Gold,232.35,2
NC 6,02212HB7614285,NC,Silver,404.74,6
TN 2,22139WZ5727290,TN,Gold,310.23,2
NV 2,95846LV0165871,NV,Catastrophic,275.34,2
FL 27,12896SA0815178,FL,Gold,346.59,27
NC 4,52199SR5818599,NC,Silver,401.35,4
OH 12,14888DH6981368,OH,Bronze,260.29,12
IL 5,22514LT0632094,IL,Silver,278.46,5
NC 9,49918VI1318177,NC,Bronze,311.71,9
FL 5,74554BD3253377,FL,Silver,386.4,5
AR 7,67436YU0651624,AR,Gold,346.66,7
FL 53,89853YH5417608,FL,Bronze,294.78,53
OK 2,30767GV6501157,OK,Bronze,243.31,2
WI 10,26146KJ5149855,WI,Bronze,249.09,10
GA 15,28457CB0547419,GA,Bronze,327.55,15
MI 9,19192VL4335939,MI,Gold,388.89,9
IL 4,78421NS8227611,IL,Gold,397.94,4
FL 5,34200CJ6778091,FL,Bronze,273.05,5
IN 13,99566PE8000002,IN,Bronze,322.5,13
TN 4,47910YL0609032,TN,Gold,324.08,4
WI 13,89925HD8728987,WI,Bronze,284.63,13
NM 5,44833XQ1473886,NM,Bronze,200.9,5
MO 2,51971GV4037628,MO,Bronze,297.32,2
OR 6,48802DE8354053,OR,Platinum,372.15,6
MI 5,33077DA2303740,MI,Gold,352.41,5
FL 59,89621JC6883093,FL,Bronze,270.9,59
FL 2,91639KF6851996,FL,Platinum,454.99,2
IL 12,95258QF2965408,IL,Bronze,202.94,12
NC 14,62397QJ8447093,NC,Bronze,273.97,14
OR 3,76608JO2321034,OR,Catastrophic,196,3
GA 4,80023KQ1516999,GA,Silver,268.18,4
MI 11,56366FH7154250,MI,Bronze,249.22,11
SC 41,43729GT9793600,SC,Bronze,257.52,41
WI 15,37469OJ8630538,WI,Platinum,431.52,15
FL 57,97608WG7061860,FL,Bronze,248.12,57
ND 4,51054OY6052662,ND,Gold,356.8,4
IL 10,88837WR0883317,IL,Silver,282.19,10
NM 1,81695HN7246329,NM,Gold,196.12,1
GA 2,65406KC5050157,GA,Bronze,182.39,2
WI 2,03449FN9145572,WI,Silver,326.7,2
FL 4,07974GM9937654,FL,Platinum,368.39,4
OH 12,00744XT3530737,OH,Gold,338.46,12
OH 4,52409OX1459388,OH,Silver,311.35,4
MI 13,96115NU5585043,MI,Gold,309.94,13
TX 15,48057MU6313696,TX,Gold,283.72,15
SC 10,54526NM3261556,SC,Silver,475.96,10
TN 4,39096EL2581656,TN,Gold,284.82,4
OH 11,50063QI8673566,OH,Gold,355.34,11
UT 2,19660YB8526287,UT,Silver,272.2,2
MS 3,04476YE5258665,MS,Gold,431.59,3
FL 49,94565HG5268846,FL,Silver,339.6,49
FL 64,24775SG3330592,FL,Bronze,292.34,64
IL 9,50339KQ1008946,IL,Bronze,210.17,9
PA 8,36271WW5532991,PA,Silver,400.03,8
TX 8,36241NQ6776404,TX,Silver,375.16,8
MI 6,22979HJ1637754,MI,Gold,382.6,6
GA 16,28310MH9114007,GA,Gold,348.95,16
TX 26,54317FG8829939,TX,Platinum,451.26,26
FL 54,56632QW9953259,FL,Catastrophic,231.57,54
GA 5,58400UC4386903,GA,Bronze,200.58,5
SC 14,01663RE3721169,SC,Gold,340.26,14
ME 3,29195CM9865310,ME,Catastrophic,229.59,3
FL 5,72659SJ3370722,FL,Catastrophic,241.1,5
OH 9,90910WY0074278,OH,Silver,275.11,9
OH 15,16824HI4108487,OH,Silver,340.84,15
UT 6,73982QZ3605488,UT,Gold,321.44,6
MS 4,19269IP5536299,MS,Silver,340.89,4
PA 9,71719MZ9972040,PA,Bronze,211.86,9
FL 41,54448BR0116023,FL,Silver,288.16,41
GA 6,39553PW4628597,GA,Catastrophic,210.45,6
MI 6,66895PF2958610,MI,Gold,348.08,6
WI 16,59357ZF2075872,WI,Silver,363.86,16
MI 10,65532XY8223246,MI,Bronze,284.21,10
AL 1,24848KC5063721,AL,Silver,264.84,1
LA 7,72887SN5332042,LA,Silver,402.16,7
SC 32,94109VF1862813,SC,Silver,308.47,32
LA 4,67345HE5580745,LA,Gold,408.65,4
AZ 2,61163YV3198644,AZ,Gold,579.27,2
IL 5,37077LP8620161,IL,Gold,386.88,5
AK 1,08147YI7234778,AK,Bronze,505,1
WI 16,96492GR5307898,WI,Silver,359.93,16
OH 2,30842WU9025419,OH,Silver,390.61,2
IL 10,34029YC4725318,IL,Catastrophic,205.07,10
MI 10,27177TY8609114,MI,Bronze,259.16,10
WI 7,48207MU8576907,WI,Silver,300.05,7
SC 11,68059GT9148103,SC,Bronze,388.71,11
FL 8,25492CW3480739,FL,Silver,414.05,8
SC 20,37431BK2808957,SC,Catastrophic,158.91,20
TX 18,77839MD1662567,TX,Gold,408.43,18
NC 6,91681VL0175372,NC,Catastrophic,226.15,6
TX 17,86677VE6191455,TX,Gold,327.72,17
IN 7,72350AB3709150,IN,Silver,355.43,7
FL 30,90068OB4693096,FL,Bronze,295.28,30
IL 8,47202TH4557375,IL,Silver,279.03,8
OR 3,04056LO2781602,OR,Bronze,197,3
IL 6,08897OL3107861,IL,Bronze,238.14,6
FL 6,63817XL9262203,FL,Bronze,218.99,6
UT 6,40333AC6469282,UT,Silver,256.16,6
GA 3,16282YU5417786,GA,Silver,305.11,3
NC 13,03950XC4104574,NC,Bronze,230.84,13
OR 5,03114UL9673990,OR,Silver,267,5
PA 5,97483XF8794313,PA,Silver,214.65,5
OH 3,71397VI8309212,OH,Bronze,225.08,3
FL 31,80398TX6633365,FL,Gold,401.23,31
NE 4,68943FS5690706,NE,Catastrophic,183.93,4
FL 32,43297FW1959519,FL,Silver,331.91,32
FL 50,03001ZJ5833182,FL,Silver,312.63,50
WI 8,83382YJ8121756,WI,Bronze,368.83,8
WY 2,30487IB8796449,WY,Catastrophic,295.2,2
MT 1,01700GP0369855,MT,Gold,275.17,1
WI 12,86302ID5430119,WI,Silver,398.72,12
MO 7,34411RZ6102364,MO,Bronze,216.17,7
AL 1,02709XN2397806,AL,Bronze,207.1,1
OH 12,92334XF9951834,OH,Bronze,395.92,12
OH 16,85221MN6077965,OH,Silver,353.02,16
FL 48,63408CJ6500184,FL,Silver,335.07,48
MT 2,92458RH7996851,MT,Bronze,204.31,2
FL 37,27436SX4315400,FL,Silver,335.25,37
OH 1,04566HH4464060,OH,Silver,359.2,1
OH 9,98698UJ9134637,OH,Silver,361.65,9
IN 5,29672RR0787018,IN,Bronze,289.77,5
SC 33,98832KK7047756,SC,Silver,297.41,33
LA 2,91415EO2409745,LA,Gold,356.41,2
NE 2,08087PG5603144,NE,Bronze,230.37,2
GA 3,32778NJ5540148,GA,Gold,354.67,3
IL 11,42113ZB5558021,IL,Gold,339.4,11
FL 17,01518HQ4453245,FL,Bronze,353.24,17
OR 3,98983FE4116767,OR,Bronze,202.31,3
OH 3,55269LQ6583847,OH,Bronze,415.14,3
WI 9,56005EG8651901,WI,Bronze,352.06,9
WI 15,54684NB7169140,WI,Bronze,286.33,15
IN 4,98158GB2373694,IN,Silver,339.41,4
SC 40,47442GD9052114,SC,Gold,369.03,40
IN 11,95100BY4753503,IN,Silver,361.25,11
FL 28,42197XY8389349,FL,Gold,434.66,28
GA 1,49064HR8925403,GA,Bronze,306.37,1
WI 11,09280MQ0648945,WI,Gold,371.61,11
LA 4,36248UT9578815,LA,Bronze,288.5,4
UT 1,57047HH2845333,UT,Silver,294.94,1
IN 12,29934AU7415102,IN,Bronze,290.24,12
SC 44,32793YK3710451,SC,Bronze,249.9,44
OH 3,60774GS5925500,OH,Bronze,270.84,3
AZ 6,22892UG3768465,AZ,Gold,320.88,6
MO 10,77579UX7961308,MO,Bronze,327.78,10
NV 1,27484BE1844488,NV,Silver,446.7017272,1
VA 4,95991YB3777670,VA,Gold,339.46,4
MI 2,43309JQ4685357,MI,Silver,344.56,2
TX 15,85027CD1083542,TX,Catastrophic,198.75,15
AL 8,89885YK0256118,AL,Silver,269.11,8
OH 4,40091IX3689533,OH,Bronze,264.08,4
ND 4,41321IH6195775,ND,Gold,353.59,4
GA 12,44219RE9133169,GA,Bronze,224.38,12
OH 2,91115YI7583587,OH,Silver,374.75,2
WV 10,70866FB0164609,WV,Silver,278.9,10
WI 12,61254MB0322892,WI,Silver,348.41,12
MI 14,33323OK3830529,MI,Gold,351.27,14
FL 55,06719QG5049335,FL,Silver,344.67,55
FL 57,16229LJ3784345,FL,Silver,339.6,57
SC 41,06301OO6089864,SC,Silver,292.4,41
MI 15,06514HC2191598,MI,Bronze,234.67,15
TX 26,94589WU2443380,TX,Silver,275.77,26
TX 3,77430NH3308755,TX,Silver,332.34,3
OH 11,72331IP5284309,OH,Silver,348.07,11
MI 2,24341NE5660295,MI,Gold,436.17,2
GA 14,85687UZ1493335,GA,Bronze,245.7,14
NM 2,90166OB8273771,NM,Gold,339.49,2
TX 3,36995NY2431166,TX,Platinum,339.72,3
WV 2,44239CJ9353128,WV,Bronze,262.78,2
FL 19,28857HD0010579,FL,Silver,330.86,19
IN 11,69568XT7962850,IN,Silver,383.48,11
OH 16,04222BQ5410438,OH,Bronze,289.01,16
FL 62,79507KK0778835,FL,Gold,324.1,62
IN 3,54418JQ8439594,IN,Silver,300.14,3
FL 34,35389BY5991826,FL,Platinum,392.49,34
SC 24,83432LM2518256,SC,Silver,459.22,24
AK 1,11285MV9931371,AK,Silver,597,1
TX 19,37318LI3262290,TX,Platinum,331.82,19
TN 6,83034WO9849347,TN,Silver,309.89,6
FL 47,44299UB4097573,FL,Bronze,325.17,47
WI 14,55440MU2536068,WI,Silver,330.8,14
WI 11,20902NU2819910,WI,Bronze,234.79,11
NV 3,07233YP5752101,NV,Silver,358.3,3
WV 10,88082NR0752899,WV,Gold,351.81,10
SC 35,95173DN7508096,SC,Bronze,268.78,35
WI 16,48046DS6723658,WI,Silver,318.27,16
FL 40,39486YA4889388,FL,Bronze,202.57,40
SC 7,18743UV0927752,SC,Bronze,380.29,7
AL 13,42009XZ4981402,AL,Bronze,203.6,13
FL 20,38443PQ0632364,FL,Gold,388.54,20
TN 5,29653SI7087945,TN,Silver,262.76,5
OH 15,86844BW2287035,OH,Gold,307.6,15
GA 8,82041YV5034393,GA,Gold,359.23,8
SC 15,23656TU7805318,SC,Platinum,667.3,15
OH 2,78193QV0983035,OH,Gold,356.57,2
MI 4,81104JV2649790,MI,Silver,332.79,4
WY 3,43577PY3278721,WY,Gold,500.26,3
UT 4,11722RG6581697,UT,Catastrophic,217.8,4
SC 19,08594OQ8101480,SC,Silver,294.55,19
SC 19,60096HX1761378,SC,Silver,313.51,19
SC 2,98953GZ1199450,SC,Bronze,283.71,2
SC 22,98365NV5910320,SC,Bronze,263.6,22
MI 9,09377OG8737584,MI,Silver,275.07,9
OH 17,19105QD2330145,OH,Silver,414.67,17
FL 6,30010RQ2822325,FL,Platinum,471.67,6
IL 2,89868PJ1539706,IL,Gold,422.08,2
NV 4,79376EN4465362,NV,Silver,449.72,4
GA 8,50534DD0711936,GA,Catastrophic,179.06,8
OH 11,19238VR4813142,OH,Silver,326.04,11
IL 10,80297IC5907589,IL,Silver,285.03,10
MI 1,65566ZT0761107,MI,Gold,308.35,1
SC 17,30434WR8176655,SC,Bronze,269.07,17
NE 4,35245XT7923813,NE,Bronze,315.01,4
PA 9,38481GF4581044,PA,Gold,312.53,9
VA 5,26246EH1942451,VA,Catastrophic,218.24,5
MI 6,64788WD8159701,MI,Gold,370.9,6
OR 7,88922YB9309085,OR,Silver,286,7
AK 3,40701HH3481343,AK,Bronze,453,3
FL 53,83927BZ5430814,FL,Platinum,396.98,53
AR 4,53481NH5752340,AR,Gold,333.57,4
WI 8,80920CK8506236,WI,Gold,441.16,8
FL 59,24454ND5596026,FL,Bronze,336.61,59
IL 1,35051SZ8580797,IL,Bronze,250.25,1
FL 59,82412OR6107177,FL,Silver,372.66,59
NV 1,62005FM1731299,NV,Bronze,210.01,1
PA 5,55534PJ8130748,PA,Gold,289.6,5
TX 24,49364ST5549236,TX,Bronze,237.45,24
IL 1,76823KR9265423,IL,Gold,547.8,1
MI 9,61185SW2443796,MI,Silver,372.11,9
NC 2,07155MQ9932186,NC,Silver,345.91,2
SC 32,26146WG7121871,SC,Silver,286.81,32
FL 4,06595OS5754620,FL,Platinum,362.98,4
TX 23,20670UY7144904,TX,Gold,402.95,23
MI 7,24751FZ7697811,MI,Gold,422.57,7
TX 19,15349AK6232922,TX,Silver,305.15,19
MI 9,26581RT6478149,MI,Catastrophic,200.18,9
KS 4,98748LF6116928,KS,Silver,253.54,4
WI 12,88259HU0130587,WI,Silver,412.16,12
MI 7,87750RM1523125,MI,Bronze,228.7,7
FL 5,89102VO5895846,FL,Silver,326.86,5
PA 5,29527FX6801086,PA,Silver,203.73,5
MT 2,00123JU7250181,MT,Catastrophic,178.36,2
NC 11,66553CJ7484637,NC,Silver,283.08,11
IL 5,64472HF6637456,IL,Gold,381.03,5
IN 13,56803WO6970149,IN,Bronze,307.89,13
MI 1,22287FX9088905,MI,Silver,332.7881592,1
SC 2,74158FP9392358,SC,Bronze,283.51,2
TX 21,04464AW9091477,TX,Bronze,180.55,21
SC 28,88008UP0569903,SC,Silver,305.96,28
OH 15,15829HS9430382,OH,Bronze,217.95,15
VA 7,74204WL8010929,VA,Gold,358.22,7
WI 16,53964DZ7792957,WI,Gold,388.84,16
FL 4,50991BN1220514,FL,Gold,358.33,4
OR 1,42411GD0880263,OR,Gold,297.83,1
WI 10,52408WT8199532,WI,Catastrophic,229.69,10
IA 2,19177LF6232929,IA,Silver,211.1,2
TX 15,74400TR6287431,TX,Silver,259.05,15
MI 2,23418QC3566634,MI,Platinum,412.93,2
SC 42,98503OR9957947,SC,Silver,282.17,42
FL 30,34405GO0667275,FL,Platinum,296.5,30
OH 13,90515YM1446905,OH,Silver,319.2,13
WY 1,74511YP5082225,WY,Bronze,369.7,1
LA 8,38771CI4330972,LA,Silver,378.55,8
PA 7,00865JG5053610,PA,Silver,268.59,7
SC 32,46393MY9787425,SC,Gold,348.87,32
FL 27,72212HV4971899,FL,Gold,371.42,27
ND 2,01715FH8565562,ND,Gold,365.53,2
AZ 5,40698AJ9434344,AZ,Silver,379.06,5
TN 5,15345YL4733367,TN,Gold,411.49,5
MI 1,42597NU9419190,MI,Bronze,223.57,1
PA 6,13145EP6794060,PA,Gold,308.25,6
VA 9,54131WO6658044,VA,Bronze,249,9
WI 15,58717RQ0418089,WI,Silver,360.7,15
GA 12,46408OH2016444,GA,Silver,300.77,12
NE 1,96721UG7604586,NE,Bronze,197.75,1
AZ 5,36608HJ0731551,AZ,Gold,322.75,5
OK 5,71738CP1355220,OK,Gold,288.56,5
MI 9,51597FM0253031,MI,Bronze,222.91,9
AR 6,14358ET1878212,AR,Silver,299.59,6
SC 8,80576RV0725426,SC,Bronze,413.75,8
VA 6,67957QR9185043,VA,Bronze,219,6
NC 4,94680NI3578710,NC,Bronze,273.21,4
WI 7,72118DR1022961,WI,Bronze,256.35,7
NC 8,69903TJ2288454,NC,Silver,357.34,8
WI 16,32042BB7434757,WI,Bronze,262.17,16
WI 11,68514KZ6902970,WI,Silver,329.64,11
NC 16,62258TC5819772,NC,Bronze,298.13,16
GA 13,08519IT1009606,GA,Silver,380.58,13
SD 3,46304UV9048056,SD,Catastrophic,199.89,3
FL 11,84148RU9267428,FL,Platinum,473.72,11
LA 6,34442JB2216415,LA,Bronze,285.18,6
SC 7,18046FR0805049,SC,Silver,282.55,7
WI 6,09046QT2450172,WI,Platinum,524.45,6
VA 7,96460TE9162449,VA,Catastrophic,275.64,7
TN 2,72301QX7866946,TN,Silver,204.38,2
WI 14,48390QV4183337,WI,Gold,368.06,14
NC 3,41479WX3756012,NC,Platinum,520.7,3
OR 1,79627LC1712542,OR,Bronze,213.8,1
TN 3,30440QN2065988,TN,Silver,238.01,3
LA 8,11611VH7689224,LA,Gold,296.2,8
IL 2,35958LU5625893,IL,Gold,393.44,2
OH 11,96804UE2278314,OH,Gold,315.77,11
SC 35,81475YY5381102,SC,Silver,314.53,35
FL 62,04532XM9210143,FL,Silver,331.91,62
IL 13,84295PP6715752,IL,Gold,363.87,13
AR 6,70868ZH9499930,AR,Silver,399.35,6
WI 7,91627KC2292432,WI,Bronze,258.18,7
PA 6,20956YQ5660567,PA,Gold,349.36,6
KS 4,68295HI3248307,KS,Silver,259,4
NE 2,35663JX4563637,NE,Bronze,268.62,2
OR 4,07173UD6547794,OR,Platinum,374.37,4
IN 16,69845TB3169159,IN,Gold,480.49,16
FL 47,23409MP2186983,FL,Platinum,381.28,47
SC 8,66686OQ1939977,SC,Silver,298.15,8
OH 12,79210FC5583736,OH,Bronze,289.57,12
OH 12,13371II2569035,OH,Gold,315.68,12
ND 2,00586UK3123571,ND,Silver,335.34,2
OH 8,08164OK0311612,OH,Gold,366.29,8
VA 3,70439DB8425680,VA,Bronze,263.55,3
FL 9,86438HG8198700,FL,Platinum,392.45,9
FL 5,70991UI5915978,FL,Silver,332.14,5
SC 7,69689RV9131788,SC,Silver,272.84,7
SC 30,71935YK4549457,SC,Bronze,262.17,30
MI 12,39771YK5116142,MI,Silver,266.27,12
FL 35,14185TE2833045,FL,Bronze,337.76,35
TX 14,23245AV5162391,TX,Silver,480.48,14
MT 3,62538QG8654923,MT,Silver,240,3
FL 50,61612WS8307691,FL,Gold,334.3,50
WI 11,84917HH9264990,WI,Bronze,328.79,11
GA 3,24673PU0488451,GA,Silver,277.53,3
SC 25,45711IH8707797,SC,Silver,263.93,25
MS 6,06760NS8958795,MS,Gold,331.09,6
GA 13,98787XJ7085885,GA,Silver,323.64,13
SC 35,62896RV7098227,SC,Gold,345.3,35
IN 2,73029CB6389297,IN,Silver,309.49,2
WI 13,74593VX3408110,WI,Gold,416.75,13
OH 8,19621PS3078612,OH,Bronze,296.46,8
FL 28,68433NG5671976,FL,Platinum,357.63,28
SC 18,64977JU0306388,SC,Bronze,256.69,18
WI 15,65636JR8409258,WI,Silver,297,15
IN 16,54341DN6208859,IN,Gold,312.29,16
IL 1,40045YE9329447,IL,Gold,301.52,1
SC 31,99559NS1372103,SC,Silver,318.27,31
OH 16,02849OS4952771,OH,Catastrophic,187.31,16
SC 18,81898VU1095709,SC,Gold,347.83,18
GA 3,25357HC1951167,GA,Bronze,208.61,3
IN 14,35398CT0019843,IN,Silver,390.89,14
AL 12,65392ON5819785,AL,Silver,305.02,12
SC 2,12290TQ6116240,SC,Silver,312.97,2
PA 5,97897YI6596714,PA,Bronze,158.99,5
FL 52,06615LI8139900,FL,Silver,280.46,52
TX 9,93439DP9235544,TX,Silver,245.16,9
VA 3,66251OE3655884,VA,Bronze,270.31,3
FL 16,46349MK8216159,FL,Silver,294.13,16
SC 13,71764SY7433395,SC,Silver,300.32,13
SC 23,13950FP1041078,SC,Silver,290.49,23
GA 8,25109MF5814427,GA,Silver,311.56,8
FL 49,45414PM9658104,FL,Bronze,282.18,49
SC 43,65406JC8928750,SC,Silver,345.62,43
OH 2,38301EP3387643,OH,Bronze,258.28,2
MI 2,29256UX3906657,MI,Silver,302.89,2
OH 7,67365CI2054188,OH,Platinum,605.83,7
SC 39,06570TW7142291,SC,Silver,289.57,39
MI 7,04076TS9461231,MI,Bronze,243.78,7
LA 7,89371MK9380402,LA,Gold,454.85,7
FL 52,13837WK8284795,FL,Bronze,239.48,52
IN 8,98824VD0953991,IN,Silver,378.06,8
IN 13,09429LW6448806,IN,Bronze,267.13,13
TX 12,01574WY7191799,TX,Silver,311.11,12
OH 15,72505TR4236852,OH,Silver,371,15
MO 9,21241UJ3515379,MO,Bronze,287.55,9
IN 16,37249TR0060995,IN,Silver,285.1,16
NC 14,62308DP8702508,NC,Silver,357.64,14
IL 6,78847KB3415440,IL,Bronze,203.69,6
FL 28,82491VO4331901,FL,Silver,284.96,28
AL 2,90884WN5801293,AL,Silver,323.25,2
FL 10,23929XK6978514,FL,Bronze,319.27,10
SC 43,29627HU1994525,SC,Gold,328.05,43
WI 13,27095MO8698637,WI,Bronze,368.51,13
AZ 7,11358TO9180996,AZ,Silver,276.5,7
WI 14,60983NL3519763,WI,Silver,338.97,14
MI 11,40055MQ2591885,MI,Gold,327.82,11
OR 4,73167DS8791896,OR,Gold,273.25,4
TX 21,39847VN1725092,TX,Gold,392.98,21
FL 30,74409ZV9654025,FL,Gold,397.96,30
AR 2,52712MV7238641,AR,Bronze,217.01,2
SC 24,81496CT6292459,SC,Bronze,271.95,24
SC 21,95944WI4190525,SC,Silver,317.81,21
MI 5,01899FF9360435,MI,Bronze,220.8,5
WI 7,37881GH0276889,WI,Silver,348.08,7
PA 4,99306UC2637658,PA,Silver,167.07,4
GA 2,49767XC3192005,GA,Silver,255.36,2
GA 9,44500NY5255628,GA,Bronze,225.6,9
IN 13,88761PK2649154,IN,Gold,460.14,13
IN 1,26625YV1698620,IN,Bronze,242.22,1
IA 3,16581UB9583006,IA,Silver,372.45,3
IL 8,76748JJ1097879,IL,Bronze,293.61,8
SC 18,47042JJ7140252,SC,Bronze,179.29,18
AZ 1,06853QE6751450,AZ,Silver,339.02,1
VA 2,02857WM2337869,VA,Bronze,190.63,2
KS 6,54987GW4315766,KS,Platinum,332.37,6
SC 24,74844HO2175008,SC,Bronze,273.3,24
UT 5,54185EN1552656,UT,Silver,232.53,5
MI 5,58693ON5167484,MI,Gold,306.19,5
SC 15,90184UD8817506,SC,Bronze,266.2,15
PA 7,94692VY6561371,PA,Silver,219.14,7
IL 10,94195EU5209781,IL,Bronze,215.29,10
FL 42,92567RV0889844,FL,Platinum,407.32,42
LA 1,52925SF2103936,LA,Gold,431.64,1
FL 43,83649DR5305346,FL,Platinum,542.61,43
MI 3,31149OH8228507,MI,Gold,433.92,3
GA 10,32544MK3531056,GA,Gold,331.88,10
AZ 5,68534NB7921214,AZ,Silver,361.69,5
AL 4,21937VQ6323079,AL,Bronze,251.57,4
TN 2,33306GG9428597,TN,Bronze,157.69,2
IL 3,03405XG0727886,IL,Silver,477.69,3
OR 3,93984RB8993699,OR,Silver,240,3
SC 15,08475FI8722748,SC,Silver,310.01,15
